candidate,seed,target,season,geography,horizon,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,43,wk inc rsv prop ed visits,2025-2026,US,3,0.00034895007008036257,0.03634896390688795,0.62,0.86,0.92,0.96
direct,43,wk inc rsv prop ed visits,2025-2026,states_dc,0,0.0005146252110521201,0.04467393137425587,0.3973362930077691,0.6230114687384388,0.7151313355530892,0.7765445800961894
direct,43,wk inc rsv prop ed visits,2025-2026,states_dc,1,0.0005220206490431441,0.04524378343774428,0.4309954751131222,0.6677978883861236,0.7575414781297134,0.8076923076923077
direct,43,wk inc rsv prop ed visits,2025-2026,states_dc,2,0.0005486671144472219,0.04760326644203447,0.4517493271818531,0.6762783544790465,0.76239907727797,0.8189158016147635
direct,43,wk inc rsv prop ed visits,2025-2026,states_dc,3,0.0005824270578696966,0.050704302742009516,0.4372549019607843,0.667843137254902,0.763921568627451,0.8145098039215686
direct,44,wk inc covid hosp,2025-2026,US,0,729.0660775323731,0.026766315515615462,0.3018867924528302,0.5283018867924528,0.6037735849056604,0.7547169811320755
direct,44,wk inc covid hosp,2025-2026,US,1,990.479660355686,0.036363632759614614,0.17307692307692307,0.3269230769230769,0.5192307692307693,0.5961538461538461
direct,44,wk inc covid hosp,2025-2026,US,2,1228.5022271020862,0.045102192017417816,0.19607843137254902,0.3333333333333333,0.43137254901960786,0.49019607843137253
direct,44,wk inc covid hosp,2025-2026,US,3,1390.6063839254628,0.05105354696539871,0.26,0.32,0.38,0.46
direct,44,wk inc covid hosp,2025-2026,states_dc,0,18.029484947776318,0.03586172389127672,0.30077691453940064,0.5297817240103588,0.6422493525712172,0.7136514983351832
direct,44,wk inc covid hosp,2025-2026,states_dc,1,21.419398355780096,0.04097699371882295,0.28808446455505277,0.5131975867269984,0.6187782805429864,0.693815987933635
direct,44,wk inc covid hosp,2025-2026,states_dc,2,25.415037327735213,0.046500991139854814,0.2829680891964629,0.4913494809688581,0.5947712418300654,0.6601307189542484
direct,44,wk inc covid hosp,2025-2026,states_dc,3,28.711278601457877,0.0510501523387232,0.263921568627451,0.46431372549019606,0.5682352941176471,0.6380392156862745
direct,44,wk inc covid prop ed visits,2025-2026,US,0,0.0006603190950577363,0.02533841494578042,0.4716981132075472,0.660377358490566,0.7358490566037735,0.7547169811320755
direct,44,wk inc covid prop ed visits,2025-2026,US,1,0.0009276915717702383,0.03559829507150965,0.28846153846153844,0.46153846153846156,0.5576923076923077,0.6730769230769231
direct,44,wk inc covid prop ed visits,2025-2026,US,2,0.0012622661122446643,0.048436919003918506,0.19607843137254902,0.29411764705882354,0.4117647058823529,0.5098039215686274
direct,44,wk inc covid prop ed visits,2025-2026,US,3,0.0015893912190328473,0.06098968592679079,0.12,0.22,0.3,0.34
direct,44,wk inc covid prop ed visits,2025-2026,states_dc,0,0.001029018455006239,0.03447109398647599,0.31779504254532004,0.5427302996670367,0.6370699223085461,0.7110617832038476
direct,44,wk inc covid prop ed visits,2025-2026,states_dc,1,0.0013154375499964924,0.04409138624992367,0.2647058823529412,0.47322775263951733,0.5599547511312217,0.6353695324283559
direct,44,wk inc covid prop ed visits,2025-2026,states_dc,2,0.00165276321857822,0.055517011288669746,0.22645136485966935,0.39830834294502115,0.48981161091887737,0.5659361783929258
direct,44,wk inc covid prop ed visits,2025-2026,states_dc,3,0.001984179617217573,0.06682849929899226,0.20823529411764705,0.37607843137254904,0.45372549019607844,0.5235294117647059
direct,44,wk inc flu hosp,2025-2026,US,0,1008.5940621070895,0.026460481293605075,0.5918367346938775,0.7959183673469388,0.8775510204081632,0.9183673469387755
direct,44,wk inc flu hosp,2025-2026,US,1,1970.282592823747,0.05169039522363653,0.5416666666666666,0.7083333333333334,0.7916666666666666,0.875
direct,44,wk inc flu hosp,2025-2026,US,2,2583.973529503017,0.06779058672796905,0.574468085106383,0.723404255319149,0.7659574468085106,0.851063829787234
direct,44,wk inc flu hosp,2025-2026,US,3,2779.003774478386,0.07290720831314554,0.43478260869565216,0.6304347826086957,0.782608695652174,0.8043478260869565
