target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,states_dc,20,2,43,345.0426086956522,108.65130434782608,151.91304347826087,84.47826086956522,511.0,21.0,29.0,32.0,35.0,464.5627721670961,164.63277463569267,187.61451397645763,112.31548355494581,729.2750878989388,23.0,36.0,37.0,39.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,20,3,42,430.95173913043476,120.60391304347826,172.04347826086956,138.30434782608697,646.0,18.0,24.0,27.0,30.0,536.7651242188857,192.8009698807086,202.07281870898444,141.8913356291927,825.2719324926209,22.0,31.0,35.0,37.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,21,0,45,424.5091304347826,134.68304347826086,263.0869565217391,26.73913043478261,628.0,19.0,34.0,38.0,40.0,428.37912580425143,147.37634514383336,259.9503866962774,21.052393964140652,679.9489873537894,23.0,36.0,40.0,43.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,21,1,44,483.6921739130435,152.04,259.95652173913044,71.69565217391305,756.0,19.0,34.0,37.0,39.0,467.31381213635905,198.49922047367812,232.00618727141958,36.80840439126135,718.8610607001319,27.0,37.0,41.0,43.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,21,2,43,533.0921739130436,170.17913043478262,238.43478260869566,124.47826086956522,839.0,21.0,32.0,35.0,38.0,552.0432060775372,241.21347933435015,231.2683792375057,79.56134750568135,873.165764022384,25.0,38.0,38.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,21,3,42,543.4391304347826,186.5695652173913,217.6086956521739,139.2608695652174,818.0,22.0,31.0,34.0,37.0,593.2101665468042,279.88520024887333,207.81871512335607,105.5062511745748,923.158647129077,28.0,36.0,39.0,41.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,22,0,45,505.04913043478257,135.96217391304347,314.695652173913,54.391304347826086,721.0,22.0,38.0,39.0,40.0,493.7014223307365,152.06210172182364,244.0229448402635,97.61637576864932,770.8101742301222,20.0,32.0,37.0,41.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,22,1,44,571.2839130434783,152.28391304347826,289.69565217391306,129.30434782608697,851.0,20.0,32.0,37.0,38.0,634.7267407195011,196.9081961855578,225.30552841563556,212.5130161183077,952.2206583766941,23.0,32.0,36.0,39.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,22,2,43,569.3730434782609,169.72086956521738,244.91304347826087,154.7391304347826,834.0,23.0,31.0,33.0,37.0,738.648241184217,254.22070392154427,216.34400994232777,268.08352732034496,1106.3568272518887,22.0,32.0,35.0,36.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,22,3,42,564.871304347826,183.39304347826086,193.17391304347825,188.30434782608697,902.0,18.0,29.0,32.0,36.0,765.5684669423316,294.99784847929766,173.79182131733666,296.7787971456973,1188.229068334588,19.0,32.0,36.0,37.0,B1 B gap-only,43
