candidate,seed,target,season,kind,age_days,geography,location,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95,n,denominator_near_zero,mae_ratio,wis_ratio
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,FL,23.373375731095024,36.7404045952691,0.011280588071981103,0.017731857588965196,55.4,0.026737453,0.7555555555555555,0.9111111111111111,0.9555555555555556,1.0,45,False,0.6631841802045189,0.4219020773885116
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,GA,6.9711534239358945,10.81735742357042,0.006657582274059472,0.010330779234904174,12.266666,0.011714897,0.37777777777777777,0.7777777777777778,0.9555555555555556,0.9555555555555556,45,False,0.8818498082475346,0.5683005626463751
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,HI,1.1232036667472554,1.9145967483560102,0.010314084558215354,0.01758123957573548,1.7333333,0.015916744,0.2,0.6,0.8222222222222222,0.8666666666666667,45,False,1.1045750369995748,0.648002109488965
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,IA,1.8879126827590131,2.4874748124016657,0.0055690659663027615,0.007337686454617534,4.3333335,0.0127826985,0.5555555555555556,0.8,0.8222222222222222,0.8666666666666667,45,False,0.5740326279603777,0.43567214157941336
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,ID,3.29303250357939,4.901448700178371,0.02004280431066664,0.02983231323397657,5.866667,0.035707045,0.1111111111111111,0.4444444444444444,0.6,0.6888888888888889,45,False,0.8354741921492613,0.5613123463985513
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,IL,8.026508789426462,11.00723319583469,0.0056756534199957406,0.007783364146430326,24.266666,0.01715929,0.6222222222222222,0.9555555555555556,0.9777777777777777,0.9777777777777777,45,False,0.4535947793072723,0.3307627283053753
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,IN,5.839562451440931,8.559912660386827,0.006849123899475977,0.010039776587236562,11.888889,0.013944277,0.6222222222222222,0.8444444444444444,0.9333333333333333,0.9555555555555556,45,False,0.7199926280086685,0.49117813261002335
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,KS,1.901471625405809,2.5782392183939615,0.0060249457404934256,0.008169331158712718,5.2222223,0.016546976,0.6222222222222222,0.8444444444444444,0.8666666666666667,0.9555555555555556,45,False,0.49370537222790467,0.3641115804554983
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,KY,4.545616845646918,7.722945870293511,0.009696284444620814,0.016473865363396744,13.822222,0.029484272,0.4888888888888889,0.8222222222222222,0.8888888888888888,0.9333333333333333,45,False,0.5587340448326604,0.32886296616387606
joint,42,wk inc covid hosp,2025-2026,revision,4,states_dc,LA,5.690269397431526,7.847196494208442,0.015615453893863967,0.021534575341321076,10.355556,0.028418109,0.6,0.8444444444444444,0.8666666666666667,0.8888888888888888,45,False,0.7577764870430297,0.549489535211272
