target,season,model,geography,horizon,n,wis,ae_median,interval_coverage_50,interval_coverage_95,underprediction,dispersion,overprediction,bias,rwis,rwis_n,wis_ratio,rank
wk inc covid prop ed visits,2025-2026,B0-8afe05f2b10e-s42,states_dc,all,5476,0.00044808375410222635,0.0006578216643330736,0.3376552227903579,0.7260774287801315,0.00011958903741915378,0.00014536432027328154,0.00018313039640977986,0.1392037983929876,1.1033501778654429,5476,0.9928539348100826,1.0
wk inc covid prop ed visits,2025-2026,B0-96f18bffffa1-s42,states_dc,all,5476,0.0006109408958841636,0.0009246136312353877,0.31884587289992694,0.7273557341124909,4.5232311933186986e-05,0.0002086093060702123,0.0003570992778807462,0.45680971512052587,1.5663516843655763,5476,1.353709137771159,13.0
wk inc covid prop ed visits,2025-2026,B0-96f18bffffa1-s43,states_dc,all,5476,0.0006256511479476459,0.0009717440849004785,0.32231555880204527,0.758400292184076,4.782127027867969e-05,0.00021149333855968665,0.0003663365391092613,0.4233473338203068,1.5105431149869901,5476,1.3863037844405948,14.0
wk inc covid prop ed visits,2025-2026,B0-96f18bffffa1-s44,states_dc,all,5476,0.0005249158879031844,0.0008223588503713235,0.4362673484295106,0.8718042366691016,5.2031288159029756e-05,0.00023585979777195,0.00023702480197218873,0.3208966398831264,1.3234000588118295,5476,1.1630968540539983,4.0
wk inc covid prop ed visits,2025-2026,B0-b1e265a36c11-s42,states_dc,all,5476,0.0005761960573317675,0.000877028983704485,0.3372899926953981,0.7657048940832725,6.416745748405911e-05,0.00020153055562262254,0.00031049804422506933,0.35959824689554415,1.4249271885212214,5476,1.2767223036017206,11.0
wk inc covid prop ed visits,2025-2026,B0-c20800f1557e-s42,states_dc,all,5476,0.0005589690216761811,0.0008323319458171276,0.27921840759678596,0.6756756756756757,6.674478911483806e-05,0.0001503433872278572,0.00034188084533347225,0.3907067202337473,1.352588071959772,5476,1.2385510242835678,9.0
wk inc covid prop ed visits,2025-2026,B0-fa4e4645314c-s42,states_dc,all,5476,0.0005098490686992766,0.0007769793329859357,0.4110664718772827,0.8177501826150475,6.496529419490959e-05,0.00020629936164813,0.00023858441285622232,0.2858491599707816,1.2276915105561224,5476,1.1297121339102298,3.0
wk inc covid prop ed visits,2025-2026,B0-fa4e4645314c-s43,states_dc,all,5476,0.0005338836276744379,0.0007931007601996129,0.3712563915266618,0.7538349159970782,6.877359763105689e-05,0.00018754704788135132,0.0002775629821620152,0.29785609934258583,1.2491031714201557,5476,1.1829673707525588,5.0
wk inc covid prop ed visits,2025-2026,B0-fa4e4645314c-s44,states_dc,all,5476,0.0006014703949393003,0.0009366238580491125,0.41070124178232287,0.8619430241051863,3.7575567323056255e-05,0.0002687862156541852,0.0002951086119620379,0.4088787436084733,1.56955380571435,5476,1.3327246141376934,12.0
wk inc covid prop ed visits,2025-2026,CovidHub-ensemble,states_dc,all,5476,0.00045130883646841546,0.000685545048191415,0.5202702702702703,0.9351716581446311,0.00011966399449722833,0.0002074688142639441,0.0001241760277072294,0.05899561723886047,1.0,5476,1.0,2.0
